variable_name,default_value,description,device,VDOM,mapped_value
UL1_gw,0.0.0.0,DHCP = 0.0.0.0,,,
UL1_inbw,950000,,,,
UL1_ip,,,,,
UL1_outbw,950000,,,,
UL1_port,,,,,
UL2_gw,0.0.0.0,DHCP = 0.0.0.0,,,
UL2_inbw,950000,,,,
UL2_ip,,,,,
UL2_outbw,950000,,,,
UL2_port,,,,,
blan1_dhcp,,build dhcp servers y/n,,,
blan1_name,,network name,,,
blan1_netid,,vlanid/dhcp index,,,
blan1_port,,Lan Side Port on Fortigate,,,
blan1_subnet,,Site Subnet/Mask,,,
blan1_vrf,,vrf number,,,
blan1_bgp,,advertise in bgp y/n,,,
branch_id,,,,,
hlan1_dhcp,,build dhcp servers y/n,,,
hlan1_name,,network name,,,
hlan1_netid,,vlanid/dhcp index,,,
hlan1_port,,Lan Side Port on Fortigate,,,
hlan1_subnet,,Site Subnet/Mask,,,
hlan1_vrf,,vrf number,,,
hlan1_bgp,,advertise in bgp y/n,,,
hostname,,,,,
vpn_psk,,must be changed to type password,,,
ipv4lbrange,,must be changed to match 00-import,,,
